Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
0,1,196736001.9683838,195,195,14430,15210,74,74,74.0,0.0,78,78,78.0,0.0,150.6587493059011,1.9823519645513303,505748.07703954703,445376.50596022065,973934.8888397217,58226.10855102539,196676414.96658325,1013795.9534359962,6437.095688211976,1032902.0023345947,1003885.03074646,196676918.98345947,1013798.5514611314,21280.528362501635,1134449.0051269531,900390.1481628418,0,0,0,0,0,0,0.9911759822756652,0.9911759822756652,74,78,76.0,2.0,4.0,0,0,0,0,0,0,0,0,1.0,76.0,74.0,78.0,0,0,0,0,0,0,195,14430,195,15210,0,0,0,0,0,0,0,0,0,0,0,0
443,6,191443532.9437256,218,207,189528,28383,5401,54,869.394495412844,1687.5017690420825,426,58,137.1159420289855,95.5359460738655,1138.2520822160886,2.2199757467123624,451517.76637671125,1259506.059626286,4863749.980926514,0.95367431640625,191164117.0978546,880940.6317873485,1711296.5633247844,4863749.980926514,64.13459777832031,191160221.81510925,927962.2418209187,1824418.1702090043,5195527.076721191,0.95367431640625,179,93,0,0,4360,4140,1.138716971254812,1.0812587754575507,54,5401,512.7317647058824,1264.5539994249364,1599096.817461602,0,0,4,272,421,0,0,0,0.9495412844036697,512.7317647058824,869.394495412844,137.1159420289855,0,0,0,0,0,0,218,189528,207,28383,253,4341,179,20,0,0,0,0,0,0,0,0
443,17,186239395.8568573,59,61,22891,12648,1287,94,387.9830508474576,480.58345512496044,467,88,207.34426229508196,153.21204477390174,190.82428739897279,0.6443319870530048,1565036.939973591,4569211.061318065,15283232.927322388,1.9073486328125,186171694.99397278,3209856.8102409104,6162063.526590902,15350173.950195312,109.91096496582031,186169561.86294556,3102826.0310490923,6088440.225373277,15352838.99307251,1.9073486328125,0,0,0,0,0,0,0.3167965603010607,0.3275354267519441,88,1287,296.15833333333336,365.5727924739779,133643.46659722214,0,0,0,0,0,0,0,0,1.0338983050847457,296.15833333333336,387.9830508474576,207.34426229508196,0,0,0,0,0,0,59,22891,61,12648,0,0,0,0,0,0,0,0,0,0,0,0
52759,6,180003027.20069885,20,10,1720,1020,98,74,86.0,12.0,102,102,102.0,0.0,15.221966222517851,0.16666386375019546,6207000.937955133,9247629.391988596,20001342.058181763,232.93495178222656,180003027.20069885,9473843.536878888,9978923.394505974,20001342.058181763,5486.965179443359,179997197.15118408,19999688.572353788,4663.318429501326,20007550.00114441,19993130.922317505,10,10,0,0,400,200,0.11110924250013031,0.055554621250065155,74,102,91.33333333333333,12.36482466066094,152.8888888888889,0,0,0,20,30,0,0,0,0.5,91.33333333333333,86.0,102.0,0,0,0,0,0,0,20,1720,10,1020,18,251,10,20,0,0,0,0,0,0,0,0
443,17,231549.02458190918,8,6,6923,1416,1292,94,865.375,551.7460778066302,741,89,236.0,240.17077257651482,36013.971620295575,60.462357918711845,17811.46342937763,27679.914195349123,81224.91836547852,31.948089599609375,150324.10621643066,21474.87231663295,34435.1759837821,86755.03730773926,31.948089599609375,175297.97554016113,35059.59510803223,42289.00008421555,88815.92750549316,176.90658569335938,0,0,0,0,0,0,34.54991881069248,25.912439108019363,89,1292,595.6428571428571,543.7688068528043,295684.5153061224,0,0,0,0,0,0,0,0,0.75,595.6428571428571,865.375,236.0,0,0,0,0,0,0,8,6923,6,1416,0,0,0,0,0,0,0,0,0,0,0,0
443,17,190328005.0754547,26,28,3446,4106,698,91,132.53846153846155,137.44767697318662,1059,87,146.64285714285714,177.47982064080938,39.67886910287344,0.2837207271656735,3591094.435385938,5505987.656713237,14996588.945388794,536.2033843994141,190328005.0754547,7613120.2030181885,5848079.564827587,14996588.945388794,50501.82342529297,190242781.8775177,7046028.958426582,6003879.190618765,15087306.97631836,536.2033843994141,0,0,0,0,0,0,0.13660627604273168,0.1471144511229418,87,1059,139.85185185185185,159.62019822615127,25478.607681755828,0,0,0,0,0,0,0,0,1.0769230769230769,139.85185185185185,132.53846153846155,146.64285714285714,0,0,0,0,0,0,26,3446,28,4106,0,0,0,0,0,0,0,0,0,0,0,0
443,6,54735227.10800171,9,11,876,1129,144,74,97.33333333333333,32.99831645537221,146,74,102.63636363636364,30.302333325317996,36.63088847779514,0.36539539628723333,2880801.426736932,6898909.047261008,24427603.006362915,1.9073486328125,54678960.08491516,6834870.010614395,9282101.11405188,24427603.006362915,967.9794311523438,54678576.946258545,5467857.6946258545,8788288.765524622,24524305.820465088,1.9073486328125,3,6,0,0,180,220,0.16442792832925499,0.20096746795797832,74,146,100.25,31.65418613706566,1001.9874999999998,2,0,0,9,20,0,0,0,1.2222222222222223,100.25,97.33333333333333,102.63636363636364,0,0,0,0,0,0,9,876,11,1129,254,294,3,20,0,0,0,0,0,0,0,0
53,6,62988.996505737305,6,5,491,417,107,74,81.83333333333333,12.033518004123133,109,74,83.4,13.61763562443936,14415.216154734193,174.63367588334376,6298.8996505737305,16628.49339996514,56133.98551940918,38.14697265625,62988.996505737305,12597.799301147461,23031.875891675998,58631.89697265625,38.14697265625,60595.035552978516,15148.758888244629,23676.13372091652,56133.98551940918,231.9812774658203,2,1,0,0,132,112,95.25473230000567,79.37894358333807,74,109,82.54545454545455,12.801730254956208,163.88429752066114,2,2,0,3,10,0,0,0,0.8333333333333334,82.54545454545455,81.83333333333333,83.4,0,0,0,0,0,0,6,491,5,417,65535,64800,2,20,0,0,0,0,0,0,0,0
53,6,63992.02346801758,6,5,491,445,107,74,81.83333333333333,12.033518004123133,137,74,89.0,24.445858544956035,14626.822989396502,171.8964240206854,6399.202346801758,17036.2520933793,57451.00975036621,35.04753112792969,63992.02346801758,12798.404693603516,23227.62641928512,59217.92984008789,38.14697265625,61946.868896484375,15486.717224121094,24244.424596358265,57451.00975036621,70.81031799316406,2,1,0,0,132,112,93.76168582946475,78.13473819122063,74,137,85.0909090909091,19.061882695600307,363.3553719008264,2,2,0,3,10,0,0,0,0.8333333333333334,85.0909090909091,81.83333333333333,89.0,0,0,0,0,0,0,6,491,5,445,65535,64800,2,20,0,0,0,0,0,0,0,0
53,6,60621.97685241699,6,5,491,433,107,74,81.83333333333333,12.033518004123133,125,74,86.6,19.75449315978519,15241.997176196675,181.45234733567472,6062.197685241699,16018.772615032789,54057.12127685547,56.98204040527344,60621.97685241699,12124.395370483398,21917.174521085508,55914.16358947754,65.80352783203125,58760.881423950195,14690.220355987549,22751.161333969492,54057.12127685547,56.98204040527344,2,1,0,0,132,112,98.97400763764075,82.47833969803396,74,125,84.0,16.186414056238647,262.00000000000006,2,2,0,3,10,0,0,0,0.8333333333333334,84.0,81.83333333333333,86.6,0,0,0,0,0,0,6,491,5,433,65535,64800,2,20,0,0,0,0,0,0,0,0
443,17,25348520.9941864,13,14,5622,5555,1292,93,432.46153846153845,498.1403286045495,1296,88,396.7857142857143,445.0621431041847,440.93302337297735,1.0651509019477847,974943.1151610154,4796506.576489164,24957145.929336548,1.9073486328125,25262331.008911133,2105194.2507425942,6898003.107089435,24982996.940612793,87.97645568847656,25293579.1015625,1945659.9308894232,6668914.579294155,25047255.039215088,1.9073486328125,0,0,0,0,0,0,0.5128504342711556,0.5523004676766291,88,1296,413.962962962963,471.7019210602831,222502.70233196154,0,0,0,0,0,0,0,0,1.0769230769230769,413.962962962963,432.46153846153845,396.7857142857143,0,0,0,0,0,0,13,5622,14,5555,0,0,0,0,0,0,0,0,0,0,0,0
443,6,110056586.02714539,10,6,2379,2459,987,74,237.9,311.99950320473266,1314,74,409.8333333333333,441.5142189732462,43.959204756784935,0.1453797594271515,7337105.735143025,27323469.18954242,109571964.02549744,2.1457672119140625,110056586.02714539,12228509.55857171,34416159.69109013,109571964.02549744,675.9166717529297,110001463.89007568,22000292.778015137,43813851.246353924,109627881.05010986,2.1457672119140625,3,3,0,0,212,132,0.0908623496419697,0.05451740978518181,74,1314,302.375,375.32483847328837,140868.734375,2,2,0,6,15,0,0,0,0.6,302.375,237.9,409.8333333333333,0,0,0,0,0,0,10,2379,6,2459,65535,65535,3,20,0,0,0,0,0,0,0,0
53,17,57480.0968170166,1,1,115,227,115,115,115.0,0.0,227,227,227.0,0.0,5949.885594116696,34.79465259717366,57480.0968170166,0.0,57480.0968170166,57480.0968170166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,17.39732629858683,17.39732629858683,115,227,171.0,56.0,3136.0,0,0,0,0,0,0,0,0,1.0,171.0,115.0,227.0,0,0,0,0,0,0,1,115,1,227,0,0,0,0,0,0,0,0,0,0,0,0
53,17,56803.94172668457,1,1,115,179,115,115,115.0,0.0,179,179,179.0,0.0,5175.697162260286,35.208824233063176,56803.94172668457,0.0,56803.94172668457,56803.94172668457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,17.604412116531588,17.604412116531588,115,179,147.0,32.0,1024.0,0,0,0,0,0,0,0,0,1.0,147.0,115.0,179.0,0,0,0,0,0,0,1,115,1,179,0,0,0,0,0,0,0,0,0,0,0,0
53,17,59455.87158203125,1,1,115,115,115,115,115.0,0.0,115,115,115.0,0.0,3868.4152444501474,33.63839343000128,59455.87158203125,0.0,59455.87158203125,59455.87158203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,16.81919671500064,16.81919671500064,115,115,115.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,115.0,115.0,115.0,0,0,0,0,0,0,1,115,1,115,0,0,0,0,0,0,0,0,0,0,0,0
443,17,553565.0253295898,10,13,6038,7093,1292,93,603.8,564.2056008229624,1296,90,545.6153846153846,537.8413461323585,23720.79051089232,41.548867698615744,25162.046605890446,105655.86435408925,508581.87675476074,6.198883056640625,524840.1165008545,58315.568500094945,159529.2721865062,509453.05824279785,63.89617919921875,548434.9727630615,45702.91439692179,139843.47865385274,508766.88957214355,6.198883056640625,0,0,0,0,0,0,18.06472508635467,23.48414261226107,90,1296,570.9130434782609,550.216077163325,302737.7315689981,0,0,0,0,0,0,0,0,1.3,570.9130434782609,603.8,545.6153846153846,0,0,0,0,0,0,10,6038,13,7093,0,0,0,0,0,0,0,0,0,0,0,0
